Claim #,Claim Date,Cleared Date,Policy Type,Claim Amount,Claim Status
1001,12/23/2024,1/10/2025,Health Insurance,35000,Accepted
1001,2/27/2025,3/12/2025,Property Insurance,35000,Denied
1006,12/15/2024,12/28/2024,Life Insurance,27500,Denied
1006,1/7/2025,1/27/2025,Health Insurance,27500,Accepted
1011,11/20/2024,12/1/2024,Casualty Insurance,39000,Accepted
1011,1/25/2025,2/19/2025,Casualty Insurance,39000,Accepted
1016,1/26/2025,2/13/2025,Property Insurance,52500,Accepted
1016,3/26/2025,4/3/2025,Health Insurance,52500,In Progress
1021,2/9/2025,2/16/2025,Casualty Insurance,55000,In Progress
1021,3/16/2025,3/26/2025,Casualty Insurance,55000,In Progress
1026,1/5/2025,1/28/2025,Health Insurance,15000,Accepted
1026,1/26/2025,2/16/2025,Health Insurance,15000,Accepted
1031,11/7/2024,11/24/2024,ReInsurance,45000,In Progress
1031,1/20/2025,2/5/2025,Life Insurance,45000,In Progress
1036,3/10/2025,3/14/2025,Casualty Insurance,40000,In Progress
1036,3/17/2025,4/8/2025,ReInsurance,40000,In Progress
1041,11/4/2024,11/19/2024,Auto Insurance,27500,Accepted
1041,4/15/2025,4/17/2025,Health Insurance,27500,Accepted
1046,2/5/2025,2/13/2025,Health Insurance,98000,Denied
1046,3/4/2025,3/10/2025,Life Insurance,98000,In Progress
1051,1/13/2025,1/15/2025,Casualty Insurance,12500,In Progress
1051,3/10/2025,4/3/2025,Casualty Insurance,12500,In Progress
1056,10/16/2024,11/8/2024,Health Insurance,65000,Denied
1056,10/29/2024,11/21/2024,Auto Insurance,65000,Denied
1061,10/29/2024,11/12/2024,Auto Insurance,52500,Accepted
1061,3/24/2025,4/12/2025,Casualty Insurance,52500,Accepted
1066,4/2/2025,4/15/2025,Life Insurance,35000,Denied
1066,4/9/2025,4/24/2025,ReInsurance,35000,In Progress
1071,11/3/2024,11/26/2024,Life Insurance,75000,In Progress
1071,11/8/2024,11/16/2024,Casualty Insurance,75000,Denied
1076,2/12/2025,3/1/2025,Auto Insurance,42000,In Progress
1076,4/3/2025,4/14/2025,Property Insurance,42000,In Progress
1081,10/21/2024,11/4/2024,Life Insurance,20000,Denied
1081,3/19/2025,4/11/2025,Auto Insurance,20000,Denied
1086,11/6/2024,11/29/2024,Health Insurance,30000,Denied
1086,2/9/2025,2/22/2025,Auto Insurance,30000,In Progress
1091,11/11/2024,11/27/2024,ReInsurance,30000,Denied
1091,12/5/2024,12/13/2024,Casualty Insurance,30000,In Progress
1096,12/29/2024,1/18/2025,Auto Insurance,28000,Denied
1096,2/18/2025,2/22/2025,Auto Insurance,28000,Denied
1101,12/25/2024,1/16/2025,Life Insurance,45000,Accepted
1101,1/7/2025,1/29/2025,ReInsurance,45000,Denied
1106,3/27/2025,4/2/2025,Auto Insurance,49000,Denied
1106,4/4/2025,4/16/2025,ReInsurance,49000,Accepted
1111,4/14/2025,4/27/2025,Property Insurance,7500,Accepted
1111,4/17/2025,4/27/2025,Auto Insurance,7500,In Progress
1116,11/20/2024,11/21/2024,Casualty Insurance,22500,Denied
1116,3/19/2025,4/10/2025,Property Insurance,22500,Accepted
1121,1/1/2025,1/19/2025,Health Insurance,75000,Denied
1121,4/7/2025,4/27/2025,Auto Insurance,75000,In Progress
1126,10/21/2024,10/29/2024,Property Insurance,63000,Denied
1126,3/14/2025,3/26/2025,Property Insurance,63000,Accepted
1131,1/6/2025,1/22/2025,Casualty Insurance,24000,In Progress
1131,2/23/2025,2/28/2025,Property Insurance,24000,Accepted
1136,12/14/2024,12/23/2024,Life Insurance,35000,Accepted
1136,12/15/2024,1/9/2025,ReInsurance,35000,Denied
1141,12/12/2024,12/17/2024,Casualty Insurance,65000,Denied
1141,1/20/2025,2/12/2025,ReInsurance,65000,In Progress
1146,2/15/2025,3/10/2025,Property Insurance,98000,Denied
1146,2/19/2025,2/28/2025,Health Insurance,98000,Accepted
1151,12/14/2024,12/24/2024,Auto Insurance,98000,In Progress
1151,3/9/2025,3/15/2025,Health Insurance,98000,Denied
1156,11/9/2024,11/25/2024,Life Insurance,49000,In Progress
1156,12/28/2024,1/21/2025,Health Insurance,49000,Accepted
1161,10/12/2024,11/3/2024,Health Insurance,65000,In Progress
1161,4/5/2025,4/9/2025,Property Insurance,65000,In Progress
1166,11/8/2024,11/13/2024,ReInsurance,37500,Accepted
1166,1/24/2025,2/12/2025,ReInsurance,37500,In Progress
1171,12/8/2024,12/19/2024,Auto Insurance,82500,Accepted
1171,4/19/2025,5/8/2025,Health Insurance,82500,In Progress
1176,3/17/2025,3/24/2025,Property Insurance,56000,In Progress
1176,4/3/2025,4/12/2025,Health Insurance,56000,Denied
1181,11/8/2024,11/12/2024,Auto Insurance,60000,Denied
1181,11/16/2024,11/29/2024,Casualty Insurance,60000,Accepted
1186,12/15/2024,1/2/2025,Life Insurance,7500,In Progress
1186,3/26/2025,4/19/2025,Casualty Insurance,7500,Denied
1191,10/28/2024,11/12/2024,Health Insurance,45000,Accepted
1191,4/8/2025,4/9/2025,Property Insurance,45000,Accepted
1196,10/23/2024,11/4/2024,Casualty Insurance,39000,Denied
1196,11/1/2024,11/18/2024,ReInsurance,39000,Accepted
1201,1/3/2025,1/10/2025,Auto Insurance,12000,Denied
1201,3/9/2025,3/13/2025,Casualty Insurance,12000,In Progress
1206,12/2/2024,12/11/2024,Health Insurance,15000,In Progress
1206,2/17/2025,2/23/2025,Auto Insurance,15000,Denied
1211,11/29/2024,12/11/2024,Health Insurance,56000,Denied
1211,3/9/2025,3/13/2025,Health Insurance,56000,Accepted
1216,11/28/2024,12/12/2024,ReInsurance,63000,Denied
1216,3/26/2025,4/18/2025,Life Insurance,63000,Accepted
1221,12/23/2024,12/27/2024,Health Insurance,18000,Denied
1221,2/15/2025,2/23/2025,Health Insurance,18000,In Progress
1226,11/18/2024,11/23/2024,Life Insurance,33000,In Progress
1226,1/14/2025,1/26/2025,ReInsurance,33000,In Progress
1231,1/26/2025,1/27/2025,Casualty Insurance,7500,Denied
1231,3/28/2025,4/12/2025,Casualty Insurance,7500,Denied
1236,2/11/2025,3/2/2025,ReInsurance,9000,Accepted
1236,4/1/2025,4/12/2025,Health Insurance,9000,Accepted
1241,10/27/2024,11/10/2024,Life Insurance,7500,Accepted
1241,12/17/2024,1/2/2025,ReInsurance,7500,In Progress
